Oyun Adı,Fiyat,Oyun Türü,Dil Desteği,Geliştirici,Pegi,URL
GetHigh.EXE,₺15,"Kumanda Desteği, Platform, Tek Oyunculu, Birinci Şahıs, Basit Eğlence",,Zypong.com,PEGI 3,https://store.epicgames.com/tr/p/gethighexe-c83d1f
Incorporeal,,"Tek Oyunculu, Zindan Tarayıcısı, Aksiyon",,Vancouver Film School,PEGI 7,https://store.epicgames.com/tr/p/incorporeal-b965e7
The Silence After,,"Tek Oyunculu, Birinci Şahıs",,Vancouver Film School,PEGI 7,https://store.epicgames.com/tr/p/the-silence-after-0e25e3
Help Is On The Way,,"Simülasyon, Tek Oyunculu, Birinci Şahıs",,Vancouver Film School,PEGI 12,https://store.epicgames.com/tr/p/help-is-on-the-way-0eee23
Service of Five Graces,₺166,"Simülasyon, Tek Oyunculu, Birinci Şahıs, Hikaye Anlatımı",,MysteryCrown,PEGI 12,https://store.epicgames.com/tr/p/service-of-five-graces-ad8263
Aerial_Knight's DROPSHOT,₺279,"Aksiyon, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Birinci Şahıs",,Aerial_Knight,PEGI 3,https://store.epicgames.com/tr/p/aerial_knights-dropshot-b8cc03
Horror Night with Tung Tung Tung Sahur,₺139,"Kumanda Desteği, Aksiyon-Macera, Bulut Kayıtları, Tek Oyunculu, Birinci Şahıs, Korku",,Source Byte Sp. z o.o.,PEGI 16,https://store.epicgames.com/tr/p/horror-night-with-tung-tung-tung-sahur-45cb98
Obscure Horrors,₺166,"Tek Oyunculu, Bağımsız, Birinci Şahıs, Korku",,Vidas Salavejus,PEGI 12,https://store.epicgames.com/tr/p/obscure-horrors-d88b6c
Wings of Rage,₺178,"Kumanda Desteği, Aksiyon, Tek Oyunculu, Bağımsız, Retro",,Cyrille Fontaine,PEGI 7,https://store.epicgames.com/tr/p/wings-of-rage-a58e4e
Backrooms Pools,₺27,"Açık Dünya, Nişancı, Korku, Tek Oyunculu",,Dark Games Studio,PEGI 12,https://store.epicgames.com/tr/p/backrooms-pools-420ea8
Undead Rise of the Betrayed King,₺279,"RYO, Kumanda Desteği, Tek Oyunculu, Bağımsız, Fantezi",,Artak Avetisyan IE,PEGI 7,https://store.epicgames.com/tr/p/undead-rise-of-the-betrayed-king-4ad94c
Styx: Blades of Greed,₺1.400,"Tek Oyunculu, Gizlilik, Aksiyon-Macera, Fantezi",,Cyanide Studio,PEGI 16,https://store.epicgames.com/tr/p/styx-blades-of-greed-4e7fc1
Return to Ash,₺83,"Macera, Tek Oyunculu",,Serenity Forge,PEGI 16,https://store.epicgames.com/tr/p/return-to-ash-dee3ff
STALCRAFT: X,,"Rekabetçi, Nişancı, MMO, Eşli, Açık Dünya, Birinci Şahıs",,EXBO,PEGI 16,https://store.epicgames.com/tr/p/stalcraft-x-057c4a
Go Ape Ship!,,"Kumanda Desteği, Parti, Eşli, Tek Oyunculu, Çapraz Platform, Online Multiplayer",,"Sound Games, Lightfox Games",PEGI 3,https://store.epicgames.com/tr/p/go-ape-ship-53158b
Star Trek: Voyager - Across the Unknown,₺1.290,"Hayatta Kalma, Strateji, Bulut Kayıtları, Tek Oyunculu, Bağımsız",,Gamexcite,PEGI 12,https://store.epicgames.com/tr/p/star-trek-voyager-across-the-unknown-9324d1
Squad,₺769,"Simülasyon, Rekabetçi, Nişancı, Eşli, Online Multiplayer, Birinci Şahıs",,Offworld,PEGI 16,https://store.epicgames.com/tr/p/squad-9d1130
Omni Kitty,₺67,"Kumanda Desteği, Aksiyon",,Revolving Lime,PEGI 3,https://store.epicgames.com/tr/p/omni-kitty-566c5f
Backdraft,₺206,"Strateji, Kart Oyunu, Bulut Kayıtları, Tek Oyunculu, Online Multiplayer",,Legacy Labs,PEGI 7,https://store.epicgames.com/tr/p/backdraft-3d1420
Lost Artifacts 7: The Ghost of Florence Collector's Edition,₺206,"Macera, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/lost-artifacts-7-the-ghost-of-florence-collectors-edition-1f1064
NORSE: Oath of Blood,₺489,"RYO, Tek Oyunculu, Hikaye Anlatımı, Sıra Temelli Strateji",,Arctic Hazard,PEGI 16,https://store.epicgames.com/tr/p/norse-d7df8c
Gnomes Garden 11: Mask of The Rat King Collector's Edition,₺206,"Macera, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/gnomes-garden-11-mask-of-the-rat-king-collectors-edition-d21f52
Dataflux Overdrive,₺67,"Tek Oyunculu, Basit Eğlence, Ritim",,Morons With Methods,PEGI 3,https://store.epicgames.com/tr/p/datafluxoverdrive-a6e756
Defend The King,,"Tek Oyunculu, Bağımsız, Kule Savunması",,Meantime Games,PEGI 18,https://store.epicgames.com/tr/p/defend-the-king-da89ad
Fell in love with coser 13,₺208,"Simülasyon, RYO, Tek Oyunculu, Birinci Şahıs",,Thermae,PEGI 16,https://store.epicgames.com/tr/p/fell-in-love-with-coser-13-4ba85a
Dark Rally,₺95,"Simülasyon, Yarış, Aksiyon-Macera, Tek Oyunculu, Online Multiplayer",,Plop Studio,PEGI 3,https://store.epicgames.com/tr/p/dark_rally-c0c99e
Mega Carrier Simulator,₺139,"Simülasyon, Kumanda Desteği, Yarış, Tek Oyunculu",,Yash Future Tech Solutions Pvt Ltd,PEGI 3,https://store.epicgames.com/tr/p/mega-carrier-simulator-b8dad1
Falling in love with stockings,₺67,"Simülasyon, RYO, Tek Oyunculu, Birinci Şahıs",,Thermae,PEGI 16,https://store.epicgames.com/tr/p/falling-in-love-with-stockings-25dbb7
High On Life 2,₺839,"Kumanda Desteği, Nişancı, Tek Oyunculu, Birinci Şahıs, Komedi",,Squanch Games,PEGI 18,https://store.epicgames.com/tr/p/high-on-life-2-fd5c96
REANIMAL,₺1.749,"Kumanda Desteği, Online Multiplayer, Eşli, Tek Oyunculu, Macera, Korku",,Tarsier Studios,PEGI 18,https://store.epicgames.com/tr/p/reanimal
Fracturefront,₺111,"Kumanda Desteği, Aksiyon-Macera, Rogue-lite, Tek Oyunculu, Basit Eğlence",,Mengxing Zhiyuan,PEGI 12,https://store.epicgames.com/tr/p/fracturefront_-3758c5
Ruin Horizon: The Parkour Game,"₺89,99","Kumanda Desteği, Platform, Rekabetçi, Aksiyon, Açık Dünya, Tek Oyunculu",,Vault Games,PEGI 7,https://store.epicgames.com/tr/p/ruin-horizon-the-parkour-game-c2fee6
Animatronics Playtime,₺15,"Korku, Tek Oyunculu, Nişancı, Aksiyon",,Pine Games,PEGI 7,https://store.epicgames.com/tr/p/animatronics-playtime-78921a
2MinsToSurvive,₺27,"Hayatta Kalma, Tek Oyunculu, Nişancı, Birinci Şahıs",,Tugay Saydam,PEGI 7,https://store.epicgames.com/tr/p/2minto-survive-e81eeb
DATE TEACHER,₺166,"Simülasyon, Tek Oyunculu, Hikaye Anlatımı, Basit Eğlence",,Onur Gencay GÖKÇE,PEGI 12,https://store.epicgames.com/tr/p/date-teacher-55dc2e
Argonauts Agency 13: Secret of the Labyrinth Collector's Edition,₺206,"Macera, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/argonauts-agency-13-secret-of-the-labyrinth-collectors-edition-2782cc
Nobody Wants to Die,"₺717,20","Simülasyon, Kumanda Desteği, Bulut Kayıtları, Tek Oyunculu, Hikaye Anlatımı, Birinci Şahıs",,Critical Hit Games,PEGI 18,https://store.epicgames.com/tr/p/nobody-wants-to-die-fe21cd
ChromaGun 2: Dye Hard,₺279,"Kumanda Desteği, Strateji, Macera, Tek Oyunculu, Bulmaca",,Pixel Maniacs,PEGI 7,https://store.epicgames.com/tr/p/chromagun-2-dye-hard-3eeac4
Disciples: Domination,₺1.929,"RYO, Kumanda Desteği, Sıra Temelli Strateji, Bulut Kayıtları, Tek Oyunculu, Fantezi",,Artefacts Studio,PEGI 12,https://store.epicgames.com/tr/p/disciples-domination-38b490
Heart of the Forest,₺178,"Kumanda Desteği, Tek Oyunculu, Fantezi, Macera, Korku",,Trapped Predator,PEGI 16,https://store.epicgames.com/tr/p/heart-of-the-forest-650281
Umpteenth Photo,₺27,"Simülasyon, Kumanda Desteği, Tek Oyunculu, Bağımsız",,Tonguc Bodur,PEGI 3,https://store.epicgames.com/tr/p/umpteenth-photo-583459
RIDE 6,₺2.579,"Simülasyon, Yarış, Bulut Kayıtları, Tek Oyunculu, Çapraz Platform, Online Multiplayer, Spor",,Milestone S.r.l.,PEGI 3,https://store.epicgames.com/tr/p/ride-6-e7fd56
Flirty Landlord Gorgeous Tenants,₺123,"Simülasyon, RYO, Tek Oyunculu, Birinci Şahıs",,Heartbeat,PEGI 16,https://store.epicgames.com/tr/p/flirty-landlord-gorgeous-tenants-9cbdd9
Fell in love with coser 12,₺139,"Simülasyon, RYO, Tek Oyunculu, Birinci Şahıs",,Thermae,PEGI 16,https://store.epicgames.com/tr/p/fell-in-love-with-coser-12-b6fade
Total War: Rome II - Emperor Edition,₺2.499,"Strateji, Aksiyon, Eşli, Tek Oyunculu, Online Multiplayer",,Creative Assembly,PEGI 16,https://store.epicgames.com/tr/p/total-war-rome-ii-764f74
Total War: ATTILA,₺1.899,"Strateji, Aksiyon, Eşli, Tek Oyunculu, Online Multiplayer",,Creative Assembly,PEGI 16,https://store.epicgames.com/tr/p/total-war-attila-1b8242
Total War: PHARAOH DYNASTIES,₺1.699,"Strateji, Aksiyon, Eşli, Tek Oyunculu, Online Multiplayer",,Creative Assembly,PEGI 16,https://store.epicgames.com/tr/p/total-war-pharaoh-dynasties-f6a34c
Perfect Loop - Soleris,₺206,"RYO, Kumanda Desteği, Sıra Temelli Strateji, Rogue-lite, Tek Oyunculu",,Soleris Games,PEGI 12,https://store.epicgames.com/tr/p/perfect-loop-soleris-2e3a36
Trenches,,"Online Multiplayer, Nişancı",,Trenches,PEGI 3,https://store.epicgames.com/tr/p/trenches-cc57e0
Relooted,₺206,"Kumanda Desteği, Aksiyon-Macera, Aksiyon, Bulut Kayıtları, Tek Oyunculu, Bulmaca",,Nyamakop,PEGI 7,https://store.epicgames.com/tr/p/relooted-89fdd7
Unmourned,₺429,"Hayatta Kalma, Kumanda Desteği, Aksiyon-Macera, Tek Oyunculu, Korku",,Codebros,PEGI 18,https://store.epicgames.com/tr/p/unmourned-7c2b7d
The Black Ice,₺312,"Hayatta Kalma, Tek Oyunculu, Aksiyon-Macera, Korku",,"RedCrab Games, Antelus Games",PEGI 16,https://store.epicgames.com/tr/p/the-black-ice-27e05f
Fell in love with coser 11,₺67,"Simülasyon, RYO, Tek Oyunculu, Birinci Şahıs",,Thermae,PEGI 16,https://store.epicgames.com/tr/p/fell-in-love-with-coser-11-639423
Carmageddon: Rogue Shift,"₺1.020,25","Kumanda Desteği, Yarış, Aksiyon, Bulut Kayıtları, Tek Oyunculu",,34BigThings srl,PEGI 16,https://store.epicgames.com/tr/p/carmageddon-rogue-shift-c05a1f
Dead Pets: A Punk Rock Slice of Life Sim,₺206,"Simülasyon, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Macera",,"Triple Topping, Akupara Games",PEGI 16,https://store.epicgames.com/tr/p/dead-pets-a-punk-rock-slice-of-life-sim-915c40
Retired Steel,,"Tek Oyunculu, Nişancı, Birinci Şahıs, Aksiyon",,Vancouver Film School,PEGI 12,https://store.epicgames.com/tr/p/retired-steel-fb4e0a
Lakeside Bar,₺83,"Simülasyon, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Basit Eğlence",,BITCOVER,,https://store.epicgames.com/tr/p/lakeside-bar-aafd1a
100 Nights In The Forest,₺15,"Korku, Tek Oyunculu, Birinci Şahıs, Aksiyon",,Pine Games,PEGI 12,https://store.epicgames.com/tr/p/100-nights-in-the-forest-3f1e62
Battle for Ercaton: Robot Uprising,₺139,"Tek Oyunculu, Nişancı, Aksiyon, Uzay",,Stasyshyn,PEGI 16,https://store.epicgames.com/tr/p/battle-for-ercaton-robot-uprising-172cae
Catch the Icons II,₺67,"Aksiyon, Bulut Kayıtları, Bağımsız, Tek Oyunculu, Basit Eğlence",,Thinkers for Christ,PEGI 3,https://store.epicgames.com/tr/p/catch-the-icons-2-450e2f
MENACE,₺999,"RYO, Uzay, Sıra Temelli Strateji, Bulut Kayıtları, Tek Oyunculu",,Overhype Studios,PEGI 16,https://store.epicgames.com/tr/p/menace-005d41
Letters Of War,₺67,"Tek Oyunculu, Aksiyon-Macera",,Wood Cabin Games,PEGI 12,https://store.epicgames.com/tr/p/letters-of-war-c9a93e
Starmasons,,"Rekabetçi, Nişancı, Aksiyon, Online Multiplayer, Birinci Şahıs",,Luftskip AS,PEGI 12,https://store.epicgames.com/tr/p/starmasons-4b2837
Winter's Edge Village: The Parkour Game,"₺69,99","Kumanda Desteği, Platform, Rekabetçi, Aksiyon, Açık Dünya, Tek Oyunculu",,Vault Games,PEGI 3,https://store.epicgames.com/tr/p/winters-edge-village-the-parkour-game-ee9d75
WAVE GODS: AMMO NIGHT,"₺199,99","Hayatta Kalma, Kumanda Desteği, Rekabetçi, Nişancı, Aksiyon-Macera, Eşli, Tek Oyunculu, Yerel Çok Oyunculu, Online Multiplayer",,Vault Games,PEGI 16,https://store.epicgames.com/tr/p/wave-gods-ammo-night-7eb978
Game of Thrones Winter is Coming,,"RYO, Online Multiplayer, Strateji, Rekabetçi, MMO, Çapraz Platform, Macera",,YOUZU (SINGAPORE) PTE. LTD.,PEGI 12,https://store.epicgames.com/tr/p/game-of-thrones-winter-is-coming-6a75e3
Seven Knights Re:BIRTH,,"Sıra Temelli, RYO, Online Multiplayer, Rekabetçi",,Netmarble Nexus Seven Knights Re:BIRTH Team,PEGI 12,https://store.epicgames.com/tr/p/seven-knights-rebirth-c0db0a
Argonauts Agency 12: Patterns of Morpheus Collector's Edition,₺206,"Macera, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/argonauts-agency-12-patterns-of-morpheus-collectors-edition-b900da
Charm and Clue Collector's Edition,"₺144,20","Bulmaca, Tek Oyunculu, Basit Eğlence, Macera",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/charm-and-clue-collectors-edition-7bb9bf
Hexguardian,₺166,"Strateji, Rogue-lite, Bulut Kayıtları, Tek Oyunculu, Kule Savunması",,Split Second Games,PEGI 3,https://store.epicgames.com/tr/p/hexguardian-2b0cbe
phase knight,₺67,"RYO, Tek Oyunculu, Aksiyon, Dövüş",,Qin Studio,PEGI 12,https://store.epicgames.com/tr/p/phase-knight-f83c01
Argonauts Agency 11: Bronze Plague Collector's Edition,₺206,"Macera, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/argonauts-agency-11-bronze-plague-collectors-edition-0bd0ea
Crown of the Empire 4 Collector's Edition,"₺144,20","Macera, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/crown-of-the-empire-4-collectors-edtition-51bcdd
Heroines Through My Lens,₺279,"Simülasyon, Kumanda Desteği, Bulut Kayıtları, Tek Oyunculu, Birinci Şahıs, Komedi",,STORYTACO,PEGI 12,https://store.epicgames.com/tr/p/heroines-through-my-lens-2bb66c
Le Quizz des animaux,₺15,"Trivia, Tek Oyunculu",,MIAM! animation,PEGI 3,https://store.epicgames.com/tr/p/le-quizz-des-animaux-9f165d
Abuga Warp Zone,₺67,"Platform, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Macera",,Broken Walls Studios,PEGI 3,https://store.epicgames.com/tr/p/abuga-warp-zone-244344
Taxi Chaos 2,₺349,"Kumanda Desteği, Yarış, Açık Dünya, Bağımsız, Tek Oyunculu",,Focuspoint Studios,PEGI 7,https://store.epicgames.com/tr/p/taxi-chaos-2-7595da
Shroom Bound,,"Platform, Tek Oyunculu, Basit Eğlence",,Vancouver Film School,PEGI 3,https://store.epicgames.com/tr/p/shroom-bound-0c40af
Dead Rails,,"Tek Oyunculu, Nişancı, Birinci Şahıs, Aksiyon",,Vancouver Film School,PEGI 7,https://store.epicgames.com/tr/p/dead-rails-81078e
Space Wolf 2,₺139,"Kumanda Desteği, Uzay, Aksiyon-Macera, Tek Oyunculu, Birinci Şahıs",,wolf studios,PEGI 12,https://store.epicgames.com/tr/p/space-wolf-2-d10986
Neon Express,,"Yarış, Tek Oyunculu",,Vancouver Film School,PEGI 18,https://store.epicgames.com/tr/p/neon-express-31144b
FRONT MISSION 3: Remake,₺489,"RYO, Sıra Temelli Strateji, Aksiyon, Bulut Kayıtları, Tek Oyunculu",,MegaPixel Studio S.A.,PEGI 16,https://store.epicgames.com/tr/p/front-mission-3-remake-029a75
Argonauts Agency 10: Wrath Of Olympus Collector's Edition,₺206,"Macera, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/argonauts-agency-10-wrath-of-olympus-collectors-edition-8176fa
Hidden Cats in Paris,₺27,"Bulmaca, Tek Oyunculu, Basit Eğlence",,Nukearts Studio,PEGI 3,https://store.epicgames.com/tr/p/hidden-cats-in-paris-78f5d4
Hidden Cats in London,₺15,"Bulmaca, Tek Oyunculu, Bağımsız, Basit Eğlence",,Nukearts Studio,PEGI 3,https://store.epicgames.com/tr/p/hidden-cats-in-london-7cec14
TRUCK MANAGER AUSTRALIA,"₺209,50","Simülasyon, Tek Oyunculu, Strateji",,MW. Winkler Forge Interactive,PEGI 3,https://store.epicgames.com/tr/p/truck-manager-australia-22b92f
Frenzy Islands Collector's Edition,₺206,"Macera, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/frenzy-islands-collectors-edition-7e0a94
Hidden Cats in New York,₺40,"Bulmaca, Tek Oyunculu, Bağımsız, Basit Eğlence",,Nukearts Studio,PEGI 3,https://store.epicgames.com/tr/p/hidden-cats-in-new-york-e7bc2a
Argonauts Agency 7: Gorgon Medusa,"₺144,20","Bulmaca, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/argonauts-agency-7-gorgon-medusa-3b79f2
D Drift,"₺33,50","Kumanda Desteği, Rekabetçi, Yarış, Bağımsız, MOBA, Online Multiplayer",,BEC Games,PEGI 3,https://store.epicgames.com/tr/p/d-drift-7a6def
Market Simulator,₺83,"Simülasyon, Rekabetçi, Tek Oyunculu, Bağımsız, Basit Eğlence",,INNOVATIVE DIGITAL SOLUTIONS,PEGI 3,https://store.epicgames.com/tr/p/market-simulator-827970
Half Sword,₺349,"Simülasyon, Tek Oyunculu, Aksiyon, Dövüş",,Half Sword Games,PEGI 18,https://store.epicgames.com/tr/p/half-sword-99f48a
ASTRAL,₺206,"Kumanda Desteği, Nişancı, Bağımsız, Tek Oyunculu, Birinci Şahıs",,GURACORP®,PEGI 12,https://store.epicgames.com/tr/p/astral-017a51
Cat Named Mojave,₺139,"Kumanda Desteği, Aksiyon-Macera, Tek Oyunculu, Birinci Şahıs, Korku",,Stargazers Studios LLC,PEGI 18,https://store.epicgames.com/tr/p/cat-named-mojave-7e06ad
Shadows of Soldiers,₺234,"Online Multiplayer, Nişancı, Aksiyon",,Ghost in the Wire,PEGI 12,https://store.epicgames.com/tr/p/shadows-of-soldiers-e3ca63
Saloon Simulator,₺149,"Simülasyon, Bulut Kayıtları, Tek Oyunculu",,Glivi Games S.A.,PEGI 16,https://store.epicgames.com/tr/p/saloon-simulator-90cc2c
Vampires: Bloodlord Rising,₺279,"Simülasyon, RYO, Kumanda Desteği, Online Multiplayer, Bulut Kayıtları, Tek Oyunculu, Macera",,Mehuman Games,PEGI 16,https://store.epicgames.com/tr/p/vampires-bloodlord-rising-44ee5c
Bookbound,₺139,"Tek Oyunculu, Aksiyon-Macera, Uzay, Bağımsız",,Soer Game Studio,PEGI 7,https://store.epicgames.com/tr/p/bookbound-3c03bb
KEJORA,₺279,"Macera, Tek Oyunculu, Korku, Kumanda Desteği",,Berangin Creative,PEGI 7,https://store.epicgames.com/tr/p/kejora-da7e6f
New Lands 5: The Shadow of Alvaria Collector's Edition,₺206,"Macera, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/new-lands-5-the-shadow-of-alvaria-collectors-edition-7d06eb
Photo Studio Simulator,"₺123,60","Simülasyon, Tek Oyunculu, Bağımsız, Basit Eğlence",,JesseMJ,PEGI 18,https://store.epicgames.com/tr/p/photo-studio-simulator-859042
Cairn,₺500,"Simülasyon, Kumanda Desteği, Keşif, Bulut Kayıtları, Tek Oyunculu, Macera",,The Game Bakers,PEGI 16,https://store.epicgames.com/tr/p/cairn-2246b4
The Green Light,₺67,"Macera, Tek Oyunculu, Bağımsız, Korku",,waleedzo,PEGI 7,https://store.epicgames.com/tr/p/the-green-light-b68358
Pixel Gun 3D,₺1.099,"Kumanda Desteği, Online Multiplayer, Nişancı, Aksiyon, Eşli, Tek Oyunculu, Çapraz Platform, Macera",,Cubic Games Studio,PEGI 3,https://store.epicgames.com/tr/p/pixel-gun-3d-812855
Definitely Not Fried Chicken,"₺261,75","Simülasyon, Tek Oyunculu, Bağımsız, Strateji",,Dope Games,PEGI 18,https://store.epicgames.com/tr/p/definitely-not-fried-chicken-a30160
Radiolight,₺206,"Macera, Birinci Şahıs, Keşif, Kumanda Desteği",,Krystof Knesl,PEGI 12,https://store.epicgames.com/tr/p/radiolight-2c8925
SUDOKU ŞAMPİYONLARI,"₺26,80","Bulmaca, Tek Oyunculu, Basit Eğlence",,JGABRIB LTDA,PEGI 3,https://store.epicgames.com/tr/p/sudoku-champions-c7589a
The Legend of Heroes: Trails beyond the Horizon,₺839,"RYO, Kumanda Desteği, Aksiyon, Bulut Kayıtları, Tek Oyunculu, Macera",,Nihon Falcom,PEGI 18,https://store.epicgames.com/tr/p/the-legend-of-heroes-trails-beyond-the-horizon-9a0e43
Elven Rivers 7: The Crimson Tide Collector's Edition,₺206,"Macera, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/elven-rivers-7-the-crimson-tide-collectors-edition-bac2e7
Royal Roads 3: Portal Collector's Edition,₺206,"Macera, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/royal-roads-3-portal-collectors-edition-c5dea4
UNDERWARD,₺178,"Kumanda Desteği, Aksiyon, Eşli, Çapraz Platform, Online Multiplayer, Birinci Şahıs, Korku",,INTENSE,PEGI 12,https://store.epicgames.com/tr/p/underward-2e4825
Dealer's Life 2,₺399,"Simülasyon, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Basit Eğlence",,Abyte Entertainment,PEGI 12,https://store.epicgames.com/tr/p/dealers-life-2-843075
1998: The Toll Keeper Story,₺166,"Simülasyon, Tek Oyunculu, Bağımsız, Hikaye Anlatımı",,GameChanger Studio,PEGI 12,https://store.epicgames.com/tr/p/1998-the-toll-keeper-story-a8fd23
Idle Guy,₺40,"Simülasyon, Tek Oyunculu, Strateji, Basit Eğlence",,Heatherglade LTD,PEGI 12,https://store.epicgames.com/tr/p/idle-guy-eb7335
"Rightfully, Beary Arms",₺139,"Kumanda Desteği, Aksiyon, Rogue-lite, Bulut Kayıtları, Bağımsız, Tek Oyunculu",,Daylight Basement Studio,PEGI 7,https://store.epicgames.com/tr/p/rightfullybearyarms-3162bb
Fuzz Dungeon,₺55,"Tek Oyunculu, Aksiyon-Macera, Keşif, Bağımsız",,"Jeremy Couillard, Chris Parrello",PEGI 12,https://store.epicgames.com/tr/p/fuzz-dungeon-0b3ce1
Escape From Lavender Island,₺139,"Tek Oyunculu, Aksiyon-Macera, Basit Eğlence, Bağımsız",,"Jeremy Couillard, Chris Parrello",PEGI 16,https://store.epicgames.com/tr/p/escape-from-lavender-island-4b1546
JEF,₺55,"Tek Oyunculu, Aksiyon-Macera, Basit Eğlence, Bağımsız",,Jeremy Couillard,PEGI 16,https://store.epicgames.com/tr/p/jef-3fc5c4
FPV Battleground,₺400,"Simülasyon, Kumanda Desteği",,Bazu,PEGI 12,https://store.epicgames.com/tr/p/fpv-battleground-57252b
Rustic Farm Life,₺206,"Simülasyon, Tek Oyunculu",,Golden Rock GTeam,PEGI 3,https://store.epicgames.com/tr/p/rustic-farm-life-e171e7
Sellsword Saga: Journey,₺40,"RYO, Tek Oyunculu, Kumanda Desteği, Fantezi",,Queen's Court,PEGI 16,https://store.epicgames.com/tr/p/sellsword-saga-journey-a2e61d
CASTILLO: The Nine Circles,₺139,"Nişancı, Bağımsız, Retro, Tek Oyunculu",,Jackson Clayton,PEGI 12,https://store.epicgames.com/tr/p/castillo-the-nine-circles-a4205a
Garden Gingdom,₺109,"Tek Oyunculu, Bağımsız, Basit Eğlence, Fantezi",,BODOS GAMES,PEGI 3,https://store.epicgames.com/tr/p/garden-gingdom-8428ce
Five Nights In The Backrooms,"₺7,50","Tek Oyunculu, Bağımsız, Birinci Şahıs, Korku",,Pine Games,PEGI 12,https://store.epicgames.com/tr/p/five-nights-in-the-backrooms-2c76e9
The 18th Attic,₺139,"Korku, Tek Oyunculu, Birinci Şahıs, Aksiyon",,Steelkrill Studio,PEGI 16,https://store.epicgames.com/tr/p/the-18th-attic-e2c83f
Skyship of the Pact: Lost Memories,₺489,"RYO, Kumanda Desteği, Tek Oyunculu, Bağımsız, Fantezi",,Unprecedented Creations,PEGI 18,https://store.epicgames.com/tr/p/skyship-of-the-pact-lost-memories-8fe826
Travel Cuisine 3: The Sea of Flavours Collector's Edition,"₺144,20","Macera, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/travel-cuisine-3-the-sea-of-flavours-collectors-edition-fc8bc2
World Wonders: Hidden Histories Collector's Edition,"₺144,20","Bulmaca, Tek Oyunculu, Basit Eğlence, Macera",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/world-wonders-hidden-histories-collectors-edition-acbc21
Tractor Racers,₺139,"Simülasyon, Kumanda Desteği, Yarış, Tek Oyunculu, Macera",,Yash Future Tech Solutions Pvt Ltd,PEGI 3,https://store.epicgames.com/tr/p/tractor-racers-28ca5f
Rustler (Grand Theft Horse),₺349,"Kumanda Desteği, Aksiyon-Macera, Bulut Kayıtları, Bağımsız, Tek Oyunculu, Komedi",,Jutsu Games,PEGI 18,https://store.epicgames.com/tr/p/rustler-grand-theft-horse-21a7ca
Bladesong,₺365,"Simülasyon, RYO, Tek Oyunculu, Bağımsız",,SUN AND SERPENT creations,PEGI 12,https://store.epicgames.com/tr/p/bladesong-441f44
Emergency Crew 4: Call of the Ancestors Collector's Edition,₺206,"Macera, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/emergency-crew-4-call-of-the-ancestors-collectors-edition-3050a0
Argonauts Agency 9: God of Storms Collector's Edition,₺206,"Macera, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/argonauts-agency-9-god-of-storms-collectors-edition-4a3add
My Desktop Girlfriend,"₺7,50","Müzik, Bulmaca, Tek Oyunculu, Basit Eğlence",,Astra Games,PEGI 12,https://store.epicgames.com/tr/p/my-desktop-girlfriend-fc7e13
Arknights: Endfield,,"RYO, Kumanda Desteği, Aksiyon-Macera, Keşif, Çapraz Platform",,Hypergryph,PEGI 12,https://store.epicgames.com/tr/p/arknightsendfield-f0f167
New Lands 3: Paradise Island Collector's Edition,₺206,"Macera, Tek Oyunculu, Strateji, Basit Eğlence",,8floor ltd,PEGI 3,https://store.epicgames.com/tr/p/new-lands-3-paradise-island-collectors-edition-e33ba8
