Oyun Adı,Fiyat,Oyun Türü,Dil Desteği,Geliştirici,Pegi,URL
World War Z,"₺97,50","Kumanda Desteği, Çok Oyunculu, Nişancı, Aksiyon, Eşli, Tek Oyunculu",,Saber Interactive,PEGI 18,https://store.epicgames.com/tr/p/world-war-z--base-game
Zero Hour,"₺34,75","Rekabetçi, Nişancı, Eşli, Bulut Kayıtları, Tek Oyunculu, Online Multiplayer, Birinci Şahıs",,AttritoM7 Productions,PEGI 18,https://store.epicgames.com/tr/p/zero-hour-8449a0
Vampire: The Masquerade – Swansong PRIMOGEN Edition,₺199,"RYO, Tek Oyunculu, Hikaye Anlatımı",,Big Bad Wolf,,https://store.epicgames.com/tr/p/vampire-the-masquerade-swansong--primogen-edition
The Divine Invasion,₺206,"Aksiyon-Macera, Bulut Kayıtları, Tek Oyunculu, Bağımsız, Dövüş",,Whale Rock Games,PEGI 16,https://store.epicgames.com/tr/p/the-divine-invasion-8083a6
TT Isle of Man: Ride on the Edge 3 Racing Fan Edition,₺623,"Simülasyon, Tek Oyunculu, Başarılar",,RaceWard Studio,,https://store.epicgames.com/tr/p/tt-isle-of-man-ride-on-the-edge-3--racing-fan-edition
WRC Generations - The FIA WRC Official Game,₺172,"Simülasyon, Kumanda Desteği, Rekabetçi, Çok Oyunculu, Yarış, Tek Oyunculu",,KT Racing,PEGI 3,https://store.epicgames.com/tr/p/wrc-11-fia-world-rally-championship-f0749b
Steelrising - Bastille Edition,₺479,"Bulut Kayıtları, RYO, Aksiyon",,Spiders,PEGI 12,https://store.epicgames.com/tr/p/steelrising--bastille-edition
Train Life: Supporter Edition,"₺133,20","Simülasyon, Bulut Kayıtları, Tek Oyunculu, Keşif",,Simteract,,https://store.epicgames.com/tr/p/train-life--supporter-edition
RiMS Racing: Eksiksiz Sürüm,₺187,"Simülasyon, Yarış, Tek Oyunculu, Çok Oyunculu",,Raceward Studio,PEGI 3,https://store.epicgames.com/tr/p/rims-racing--ultimate-edition
The Wraith of the Galaxy,₺279,"Uzay, Aksiyon-Macera, Bulut Kayıtları, Tek Oyunculu, Basit Eğlence",,Whale Rock Games,PEGI 7,https://store.epicgames.com/tr/p/the-wraith-of-the-galaxy-ac9fc1
WRC 9 Deluxe Edition,"₺175,32","Simülasyon, Çok Oyunculu, Yarış, Bulut Kayıtları, Tek Oyunculu, Spor",,KT Racing,PEGI 3,https://store.epicgames.com/tr/p/wrc-9--deluxe-edition
Styx: Shards of Darkness - Deluxe Edition,₺279,"Tek Oyunculu, Gizlilik, Aksiyon-Macera, Fantezi",,Cyanide Studio,PEGI 16,https://store.epicgames.com/tr/p/styx-shards-of-darkness-77c030
Firelight Fantasy: Phoenix Crew,₺206,"RYO, Aksiyon-Macera, Bulut Kayıtları, Tek Oyunculu, Bağımsız",,Whale Rock Games,PEGI 16,https://store.epicgames.com/tr/p/firelight-fantasy-phoenix-crew-e7fca3
Cyberpunk SFX,"₺13,95","Simülasyon, Nişancı, Aksiyon-Macera, Bulut Kayıtları, Tek Oyunculu",,Whale Rock Games,PEGI 12,https://store.epicgames.com/tr/p/cyberpunk-sfx-81bdee
Edge Of Eternity,₺49,"RYO, Strateji, Bulut Kayıtları, Açık Dünya, Tek Oyunculu",,Midgar Studio,,https://store.epicgames.com/tr/p/edge-of-eternity
WRC 8 Deluxe Sürüm,₺174,"Bulut Kayıtları, Yarış, Çok Oyunculu","Ses ve  İngilizce, Fransızca, İtalyanca, Almanca, İspanyolca, Sadece   İngilizce",KT Racing,,https://store.epicgames.com/tr/p/wrc-8--deluxe-edition
OTXO,₺206,"Kumanda Desteği, Nişancı, Aksiyon, Rogue-lite, Bulut Kayıtları, Tek Oyunculu",,Lateralis Heavy Industries,PEGI 16,https://store.epicgames.com/tr/p/otxo-396b8b
