Oyun Adi,Fiyat,URL,Diller,PEGI,Platformlar
Marvel Rivals,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/marvel-rivals/9N8PMW7QMD3D/0010,11 Dil,N/A,Bilgisayar | Xbox Series X|S
Fortnite Battle Royale,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/fortnite-battle-royale/9P6LNN3KZ75R/0010,13 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Fall Guys,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/fall-guys/9PMXH5249DG5/0010,14 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Microsoft Minesweeper,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/microsoft-minesweeper/9WZDNCRFHWCN/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
Delta Force,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/delta-force/9NRMZXGKP4NM/0010,12 Dil,N/A,Bilgisayar | Xbox Series X|S
The Sims™ 4,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/the-sims-4/C08JXNK0VG5L/0001,15 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
EA SPORTS FC™ 26 Standart Sürüm Xbox One ve Xbox Series X|S,"2.899,99 ₺+",https://www.xbox.com/tr-TR/games/store/ea-sports-fc-26-standart-surum-xbox-one-ve-xbox-series-xs/9MXZBTLG26VX/0010,21 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
War Thunder,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/war-thunder/BX1DTCBD1HXJ/0001,11 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Candy Crush Saga,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/candy-crush-saga/9NBLGGH18846/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
Minecraft,"749,00 ₺+",https://www.xbox.com/tr-TR/games/store/minecraft/9MVXMVT8ZKWC/0010,25 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Apex Legends™,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/apex-legends/BV9ML45J2Q5V/0001,13 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Halo Infinite,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/halo-infinite/9PP5G1F0C2B6/0010,15 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
PUBG: BATTLEGROUNDS,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/pubg-battlegrounds/C0MN5DN8KR3F/0001,17 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Stumble Guys,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/stumble-guys/9N9L211HC9LQ/0010,14 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
It Takes Two - Friend's Pass,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/it-takes-two-friends-pass/9NMG7ZJ9XK0H/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Overwatch®,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/overwatch/C1C4DZJPBC2V/0001,14 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Xbox Series X|S için NBA 2K26,,https://www.xbox.com/tr-TR/games/store/xbox-series-xs-icin-nba-2k26/9NFKCJNBR34N/0010,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Genshin Impact,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/genshin-impact/9N7TFFRRZCC9/0010,14 Dil,N/A,Bilgisayar | Xbox Series X|S
The Outlast Trials,"262,80 ₺+",https://www.xbox.com/tr-TR/games/store/the-outlast-trials/9NR13RF1V2WV/0010,14 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Need for Speed™ Heat Deluxe Edition,"26,95 ₺+",https://www.xbox.com/tr-TR/games/store/need-for-speed-heat-deluxe-edition/BVH2R2SBWL51/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
VALORANT,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/valorant/9N1NLJK9SKRN/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
Battlefield™ 6,"1.739,99 ₺+",https://www.xbox.com/tr-TR/games/store/battlefield-6/9P2FF14JZLL3/0010,13 Dil,N/A,Bilgisayar | Xbox Series X|S
Call of Duty®: Black Ops II,"647,99 ₺+",https://www.xbox.com/tr-TR/games/store/call-of-duty-black-ops-ii/C1QJM5XT9SXV/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Vigor,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/vigor/BQL8L17RV09Z/0001,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Rec Room,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/rec-room/9PGPQK0XTHRZ/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
MLB® The Show™ 26 - Digital Deluxe Edition (Ön Sipariş),"4.100,00 ₺+",https://www.xbox.com/tr-TR/games/store/mlb-the-show-26-digital-deluxe-edition-on-siparis/9NF00BDD666N/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
Forza Horizon 5 Standard Edition,"999,00 ₺+",https://www.xbox.com/tr-TR/games/store/forza-horizon-5-standard-edition/9NKX70BBCDRN/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Mortal Kombat 11,"349,00 ₺+",https://www.xbox.com/tr-TR/games/store/mortal-kombat-11/BTC0L0BW6LWC/0001,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
EA SPORTS™ Madden NFL 26,"2.899,99 ₺+",https://www.xbox.com/tr-TR/games/store/ea-sports-madden-nfl-26/9NVD16NP4J8T/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
Roadside Research (Oyun ön izleme),"529,00 ₺",https://www.xbox.com/tr-TR/games/store/roadside-research-oyun-on-izleme/9PFNXM9G4N83/0010,15 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Pool Blitz,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/pool-blitz/9NX2FLJQ8QBN/0010,6 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Homefront®: The Revolution 'Freedom Fighter' Bundle,"100,00 ₺+",https://www.xbox.com/tr-TR/games/store/homefront-the-revolution-freedom-fighter-bundle/BQ1Q84V1SXCC/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Fishing Planet,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/fishing-planet/BVM002M8HH0S/0001,8 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
EA SPORTS FC™ 26 TOTY Sürümü Xbox One ve Xbox Series X|S,"3.599,99 ₺+",https://www.xbox.com/tr-TR/games/store/ea-sports-fc-26-toty-surumu-xbox-one-ve-xbox-series-xs/9MZPSB9T76KB/0010,21 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Phasmophobia (Oyun ön izleme),"675,00 ₺",https://www.xbox.com/tr-TR/games/store/phasmophobia-oyun-on-izleme/9N6D60SBZN05/0010,8 Dil,N/A,Bilgisayar | Xbox Series X|S
Pixel Strike 3D,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/pixel-strike-3d/9P4909RMFJRC/0010,2 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Resident Evil Revelations 2 (Episode One),Ücretsiz+,https://www.xbox.com/tr-TR/games/store/resident-evil-revelations-2-episode-one/C2BD1F6CB3L5/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Little Nightmares III – Free Trial & Friend's Pass,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/little-nightmares-iii-free-trial-friends-pass/9P96KKM6TFBN/0010,15 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
EA SPORTS™ College Football 26,"2.899,99 ₺+",https://www.xbox.com/tr-TR/games/store/ea-sports-college-football-26/9NLKS78C4F3Z/0010,1 Dil,N/A,Bilgisayar | Xbox Series X|S
Rocket Racing,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/rocket-racing/9PB4WLWQS892/0010,13 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Microsoft Solitaire Collection,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/microsoft-solitaire-collection/9WZDNCRFHWD2/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
THE FINALS,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/the-finals/9PGD71CMDS0Z/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
Assassin's Creed Shadows,"1.400,00 ₺+",https://www.xbox.com/tr-TR/games/store/assassins-creed-shadows/9P42LWGMC7K4/0010,13 Dil,N/A,Bilgisayar | Xbox Series X|S
Brawlhalla,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/brawlhalla/C3B1V55CDL0C/0001,11 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Tom Clancy's Rainbow Six® Siege - Elit Sürüm,"350,00 ₺+",https://www.xbox.com/tr-TR/games/store/tom-clancys-rainbow-six-siege-elit-surum/9PB3RHWXB9MR/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
UFL,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/ufl/9NBBQK8PR7D6/0010,14 Dil,N/A,Bilgisayar | Xbox Series X|S
Saints Row The Third Remastered,"749,00 ₺",https://www.xbox.com/tr-TR/games/store/saints-row-the-third-remastered/BXHMPV1JT9WH/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
The Walking Dead,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/the-walking-dead/BR1ZD21DCXJR/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
HELLDIVERS™ 2,"1.749,00 ₺+",https://www.xbox.com/tr-TR/games/store/helldivers-2/9P3PT7PQJD0M/0010,15 Dil,N/A,Bilgisayar | Xbox Series X|S
Maximum Football,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/maximum-football/9N5NG663BKSF/0010,1 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Destiny 2,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/destiny-2/BPQ955FQFPH6/0001,14 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Hamster Playground,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/hamster-playground/9NHQC2J6R4W7/0010,36 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
