Oyun Adi,Fiyat,URL,Diller,PEGI,Platformlar
Deceit 2,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/deceit-2/9N9XNDQB8CL1/0010,12 Dil,N/A,Bilgisayar | Xbox Series X|S
F1® 25,"2.899,99 ₺+",https://www.xbox.com/tr-TR/games/store/f1-25/9NWPW7F19FS5/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
World of Warships: Legends - Hızlı Başlangıç 8,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/world-of-warships-legends-hizli-baslangic-8/9P7C814B3TXJ/0010,10 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Cup Heroes,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/cup-heroes/9NCD341CHC8G/0010,12 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Call of Duty®: Modern Warfare® 3,"39,35 ₺+",https://www.xbox.com/tr-TR/games/store/call-of-duty-modern-warfare-3/BXZLCHZT8NDF/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
The Walking Dead: A New Frontier,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/the-walking-dead-a-new-frontier/9NBLGGH4VXPM/0010,N/A,N/A,Bilgisayar | Xbox Series X|S | Handheld
Agents of Mayhem - Total Mayhem Bundle,"76,50 ₺+",https://www.xbox.com/tr-TR/games/store/agents-of-mayhem-total-mayhem-bundle/C56L6F8GR9LS/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Life Is Strange,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/life-is-strange/BP5HKF86C1NJ/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
EA SPORTS FC™ 26 Xbox Series X|S,,https://www.xbox.com/tr-TR/games/store/ea-sports-fc-26-xbox-series-xs/9P9FTXPKQ35P/0010,21 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Call of Duty®: World at War,"32,00 ₺+",https://www.xbox.com/tr-TR/games/store/call-of-duty-world-at-war/C4P9QWXCHKNJ/0001,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Palworld (Game Preview),"900,00 ₺",https://www.xbox.com/tr-TR/games/store/palworld-game-preview/9NKV34XDW014/0010,16 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
EA SPORTS™ Playoff Bundle (Madden NFL 26 Standart Sürüm ve College Football 26 Standart Sürüm),"3.999,99 ₺+",https://www.xbox.com/tr-TR/games/store/ea-sports-playoff-bundle-madden-nfl-26-standart-surum-ve-college-football-26-standart-surum/9P8F8CT7WT6D/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
Tom Clancy's The Division 2 - Altın Sürüm,"290,00 ₺+",https://www.xbox.com/tr-TR/games/store/tom-clancys-the-division-2-altin-surum/9N73ZTV428K2/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Tom Clancy's The Division - Mutlak Sürüm,"262,35 ₺+",https://www.xbox.com/tr-TR/games/store/tom-clancys-the-division-mutlak-surum/9PGFFB0WZPKH/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Assetto Corsa Ultimate Edition,"100,00 ₺+",https://www.xbox.com/tr-TR/games/store/assetto-corsa-ultimate-edition/BNQD9TWQ10PC/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Nobody Wants to Die,"629,00 ₺",https://www.xbox.com/tr-TR/games/store/nobody-wants-to-die/9PJXGVSH37F4/0010,11 Dil,N/A,Bilgisayar | Xbox Series X|S
Deadlight: Director's Cut,"46,25 ₺+",https://www.xbox.com/tr-TR/games/store/deadlight-directors-cut/C0SKP911GZMV/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Saints Row IV: Re-Elected & Gat out of Hell,"76,50 ₺+",https://www.xbox.com/tr-TR/games/store/saints-row-iv-re-elected-gat-out-of-hell/BQT9LF5VCDPC/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Descenders,"156,25 ₺",https://www.xbox.com/tr-TR/games/store/descenders/C37XBX7DCBZ0/0001,12 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Undisputed,"2.149,00 ₺+",https://www.xbox.com/tr-TR/games/store/undisputed/9NQ6Z171XZX8/0010,10 Dil,N/A,Bilgisayar | Xbox Series X|S
Forza Horizon 6 Premium Edition,"5.199,00 ₺+",https://www.xbox.com/tr-TR/games/store/forza-horizon-6-premium-edition/9NDBXSJFP7DH/0017,N/A,N/A,Bilgisayar | Xbox Series X|S
Resident Evil 4,"1.399,00 ₺+",https://www.xbox.com/tr-TR/games/store/resident-evil-4/9N7JCPPCPN37/0010,14 Dil,N/A,Bilgisayar | Xbox Series X|S
Middle-earth™: Shadow of War™,"180,00 ₺+",https://www.xbox.com/tr-TR/games/store/middle-earth-shadow-of-war/9PDV8FKWP3B4/0010,14 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
FragPunk,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/fragpunk/9MW715J1P29D/0010,10 Dil,N/A,Bilgisayar | Xbox Series X|S
Sekiro™: Shadows Die Twice - GOTY Sürümü,"283,00 ₺",https://www.xbox.com/tr-TR/games/store/sekiro-shadows-die-twice-goty-surumu/BQD5WRRP2D6Q/0001,14 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Sniper Elite 4 Digital Deluxe Edition,"320,00 ₺+",https://www.xbox.com/tr-TR/games/store/sniper-elite-4-digital-deluxe-edition/C2T7QDLPDRFL/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
NARAKA: BLADEPOINT,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/naraka-bladepoint/9P8SQQJ5T94B/0010,14 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Grand Theft Auto V (Xbox Series X|S),"1.399,00 ₺+",https://www.xbox.com/tr-TR/games/store/grand-theft-auto-v-xbox-series-xs/9NXMBTB02ZSF/0010,14 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
MLB® The Show™ 26 Standard Edition (Ön Sipariş),"2.800,00 ₺+",https://www.xbox.com/tr-TR/games/store/mlb-the-show-26-standard-edition-on-siparis/9P787W24H05M/0017,N/A,N/A,Bilgisayar | Xbox Series X|S
RIDE 5 - Special Edition,"3.849,00 ₺+",https://www.xbox.com/tr-TR/games/store/ride-5-special-edition/9NLHNRBRRNWD/0010,10 Dil,N/A,Bilgisayar | Xbox Series X|S
Kingdom Come: Deliverance II - Royal Edition,"2.249,00 ₺+",https://www.xbox.com/tr-TR/games/store/kingdom-come-deliverance-ii-royal-edition/9PBHX1S4DGZ4/0010,15 Dil,N/A,Bilgisayar | Xbox Series X|S
Destroy All Humans! - Clone Carnage,Ücretsiz,https://www.xbox.com/tr-TR/games/store/destroy-all-humans-clone-carnage/9MZCQQK860T1/0010,12 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
ARC Raiders - Deluxe Edition,"2.500,00 ₺+",https://www.xbox.com/tr-TR/games/store/arc-raiders-deluxe-edition/9P1188TSPWL1/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
High On Life,"288,75 ₺+",https://www.xbox.com/tr-TR/games/store/high-on-life/9NL4714VTLRS/0010,6 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Tomb Raider: Definitive Survivor Trilogy,"869,75 ₺+",https://www.xbox.com/tr-TR/games/store/tomb-raider-definitive-survivor-trilogy/9PG7MTR0MVP9/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
THE HOUSE OF THE DEAD: Remake,"71,25 ₺",https://www.xbox.com/tr-TR/games/store/the-house-of-the-dead-remake/9NCRZW5L1N9M/0010,10 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
NHL 26 Xbox Series X|S,,https://www.xbox.com/tr-TR/games/store/nhl-26-xbox-series-xs/9PC1KTWW5PB5/0010,5 Dil,N/A,Bilgisayar | Xbox Series X|S
Mortal Kombat X,"247,50 ₺+",https://www.xbox.com/tr-TR/games/store/mortal-kombat-x/C01Z9J8S9BJP/0001,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
7 Days to Die - Console Edition (Game Preview),"1.600,00 ₺+",https://www.xbox.com/tr-TR/games/store/7-days-to-die-console-edition-game-preview/9P6DWL7R6NTL/0010,13 Dil,N/A,Bilgisayar | Xbox Series X|S
World of Tanks Modern Armor - Karadan ve Denizden,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/world-of-tanks-modern-armor-karadan-ve-denizden/9PP83M4RFT46/0010,10 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Wizard101,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/wizard101/9NHKG3JGD9Z3/0010,4 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Snooker Blitz,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/snooker-blitz/9NHQ5CB04K4P/0010,5 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Kingdom Come: Deliverance II,"1.749,00 ₺+",https://www.xbox.com/tr-TR/games/store/kingdom-come-deliverance-ii/9N4W31HSMVVD/0010,16 Dil,N/A,Bilgisayar | Xbox Series X|S | Handheld
Mecha BREAK,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/mecha-break/9N1BZS0V3K0C/0010,11 Dil,N/A,Bilgisayar | Xbox Series X|S | Handheld
Tom Clancy's The Division 2,"116,25 ₺+",https://www.xbox.com/tr-TR/games/store/tom-clancys-the-division-2/BVQ3V30ZXVT5/0001,17 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Differences: Find & Spot them,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/differences-find-spot-them/9NFT742J26K3/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
Call of Duty®: Black Ops 7 - Cross-Gen Paketi,"3.199,00 ₺+",https://www.xbox.com/tr-TR/games/store/call-of-duty-black-ops-7-cross-gen-paketi/9N8KMNW6942X/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Too Human,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/too-human/BQ216SGGM4M8/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Xbox One için NBA 2K26,,https://www.xbox.com/tr-TR/games/store/xbox-one-icin-nba-2k26/9PP9PFSCJTWR/0010,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Hogwarts Legacy Xbox One Sürümü,"374,85 ₺+",https://www.xbox.com/tr-TR/games/store/hogwarts-legacy-xbox-one-surumu/9NK4NTBFWW81/0010,15 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Split Fiction,"1.799,99 ₺+",https://www.xbox.com/tr-TR/games/store/split-fiction/9N1WXXD1RL8D/0010,11 Dil,N/A,Bilgisayar | Xbox Series X|S
HITMAN World of Assassination Part One,"90,00 ₺+",https://www.xbox.com/tr-TR/games/store/hitman-world-of-assassination-part-one/9NT2824TW8VR/0010,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
LEGO® Fortnite Brick Life,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/lego-fortnite-brick-life/9NHFDZRD753R/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Crackdown,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/crackdown/C3VNJHHD7MM4/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Hotline Miami,"21,00 ₺",https://www.xbox.com/tr-TR/games/store/hotline-miami/9MV27QPRQRRF/0010,13 Dil,N/A,Bilgisayar | Xbox Series X|S
NASCAR 25,"2.400,00 ₺+",https://www.xbox.com/tr-TR/games/store/nascar-25/9NMCWBHJK4ZZ/0010,1 Dil,N/A,Bilgisayar | Xbox Series X|S
Crackdown 2,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/crackdown-2/C0MKH58NBHRG/0001,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Green Hell,"95,81 ₺",https://www.xbox.com/tr-TR/games/store/green-hell/9N39Q75R7G35/0010,17 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Resident Evil 5,"699,00 ₺+",https://www.xbox.com/tr-TR/games/store/resident-evil-5/C08CV6MR919R/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
RESIDENT EVIL 7 biohazard,"699,00 ₺+",https://www.xbox.com/tr-TR/games/store/resident-evil-7-biohazard/BVFDTJ1XF6CS/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Blair Witch,"87,60 ₺",https://www.xbox.com/tr-TR/games/store/blair-witch/9NG7LG421V0Q/0010,12 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Star Chef™ 2: Cooking Game,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/star-chef-2-cooking-game/9NGG6Z1RL073/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
Little Ralph - Trial,Ücretsiz,https://www.xbox.com/tr-TR/games/store/little-ralph-trial/9P4XGWLH8CBF/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Saints Row Gold Edition,"999,00 ₺+",https://www.xbox.com/tr-TR/games/store/saints-row-gold-edition/9N8SZ4VHX3LT/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Crossout,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/crossout/C0FZNGPNQQRQ/0001,5 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Fortnite Festival,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/fortnite-festival/9MZL842T57QN/0010,13 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Borderlands®4,"2.900,00 ₺+",https://www.xbox.com/tr-TR/games/store/borderlands4/9MX6HKF5647G/0010,15 Dil,N/A,Bilgisayar | Xbox Series X|S
Batman™: Arkham Knight,"90,00 ₺+",https://www.xbox.com/tr-TR/games/store/batman-arkham-knight/BSLX1RNXR6H7/0001,10 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
RIDE 5,"2.579,00 ₺+",https://www.xbox.com/tr-TR/games/store/ride-5/9NRDG9Q1V2XM/0010,10 Dil,N/A,Bilgisayar | Xbox Series X|S
Red Dead Redemption 2,"2.099,00 ₺+",https://www.xbox.com/tr-TR/games/store/red-dead-redemption-2/9N2ZDN7NWQKV/0010,14 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Inops,Ücretsiz,https://www.xbox.com/tr-TR/games/store/inops/9MX3ZLK7N799/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Life is Strange 2 - 1. Bölüm,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/life-is-strange-2-1-bolum/BTNTWQD5V8WG/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Raft,"399,00 ₺",https://www.xbox.com/tr-TR/games/store/raft/9P7RBKDTN18T/0010,12 Dil,N/A,Bilgisayar | Xbox Series X|S
Space Jam: A New Legacy - The Game,Ücretsiz,https://www.xbox.com/tr-TR/games/store/space-jam-a-new-legacy-the-game/9N9HW342BZ2X/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
World of Warships: Legends - Stratejik Müttefikler,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/world-of-warships-legends-stratejik-muttefikler/9MVK71ZTFNTF/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Metro Exodus Gold Edition,"233,00 ₺+",https://www.xbox.com/tr-TR/games/store/metro-exodus-gold-edition/C3BVG9LGGV75/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
The LEGO Movie Videogame,"90,00 ₺+",https://www.xbox.com/tr-TR/games/store/the-lego-movie-videogame/C42GGWF64WH8/0001,11 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Scott Pilgrim EX,"82,50 ₺",https://www.xbox.com/tr-TR/games/store/scott-pilgrim-ex/9P8RFN5P0423/0010,15 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Mafia: Trilogy,"374,00 ₺+",https://www.xbox.com/tr-TR/games/store/mafia-trilogy/9NKG0X1MGQTX/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Call of Duty®: Black Ops III - Zombies Deluxe,"1.439,99 ₺+",https://www.xbox.com/tr-TR/games/store/call-of-duty-black-ops-iii-zombies-deluxe/BPP4NB1CKGP1/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Killer Instinct,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/killer-instinct/BP4S3XLJG78M/0001,10 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
A Way Out,"152,50 ₺",https://www.xbox.com/tr-TR/games/store/a-way-out/BWVBNCMF22ZK/0001,8 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
"Little Kitty, Big City","24,93 ₺",https://www.xbox.com/tr-TR/games/store/little-kitty-big-city/9NF5S7MLM8XT/0010,13 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Ready or Not,"999,00 ₺+",https://www.xbox.com/tr-TR/games/store/ready-or-not/9NBR63PT4FZC/0010,12 Dil,N/A,Bilgisayar | Xbox Series X|S | Handheld
RoboCop: Rogue City - Unfinished Business,"1.049,00 ₺+",https://www.xbox.com/tr-TR/games/store/robocop-rogue-city-unfinished-business/9NNNFB5F54C9/0010,13 Dil,N/A,Bilgisayar | Xbox Series X|S | Handheld
Echoes of the End: Enhanced Edition,"1.399,00 ₺",https://www.xbox.com/tr-TR/games/store/echoes-of-the-end-enhanced-edition/9PJW26LZSH39/0010,13 Dil,N/A,Bilgisayar | Xbox Series X|S
Capcom Arcade Stadium,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/capcom-arcade-stadium/9N7PQ80B145R/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Risk of Rain 2,"879,00 ₺+",https://www.xbox.com/tr-TR/games/store/risk-of-rain-2/9P6F6TBGGVK3/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Faaast Penguin,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/faaast-penguin/9PGHN0G6SK8F/0010,10 Dil,N/A,Bilgisayar | Xbox Series X|S
Dead Island 2,"1.749,00 ₺+",https://www.xbox.com/tr-TR/games/store/dead-island-2/C3L4J3H7H12R/0001,14 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
DEAD OR ALIVE 6: Core Fighters,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/dead-or-alive-6-core-fighters/BTB7HC3ZDL2V/0001,10 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Tom Clancy's Splinter Cell® Conviction™,"12,25 ₺+",https://www.xbox.com/tr-TR/games/store/tom-clancys-splinter-cell-conviction/BP58JN2GVQS8/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
"Force of Warships: Savaş gemisi oyunu, Deniz Savaşı Savaşı",Ücretsiz+,https://www.xbox.com/tr-TR/games/store/force-of-warships-savas-gemisi-oyunu-deniz-savasi-savasi/9MV55L093NRX/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
Prominence Poker,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/prominence-poker/BXT6TD05Q930/0001,5 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Lords of the Fallen,"799,00 ₺+",https://www.xbox.com/tr-TR/games/store/lords-of-the-fallen/9N3CJZ3HFHTF/0010,11 Dil,N/A,Bilgisayar | Xbox Series X|S
Sea of Thieves: 2025 Edition,"669,00 ₺+",https://www.xbox.com/tr-TR/games/store/sea-of-thieves-2025-edition/9P2N57MC619K/0010,16 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Kingdom Come: Deliverance – Saga Bundle,"4.299,00 ₺+",https://www.xbox.com/tr-TR/games/store/kingdom-come-deliverance-saga-bundle/9PBXN355JRTR/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Resident Evil 6,"699,00 ₺+",https://www.xbox.com/tr-TR/games/store/resident-evil-6/BXCVNFBPZHXQ/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
World of Warships: Legends,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/world-of-warships-legends/C1ZT6N30L1WH/0001,10 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Arma Reforger,"1.299,00 ₺",https://www.xbox.com/tr-TR/games/store/arma-reforger/9NKCKD1WNDQ0/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
LEGO® Marvel Super Heroes 2,"212,50 ₺+",https://www.xbox.com/tr-TR/games/store/lego-marvel-super-heroes-2/C0G91V37489H/0001,15 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Persona 5 Royal,"699,00 ₺",https://www.xbox.com/tr-TR/games/store/persona-5-royal/9NZDHXL9SJJ8/0010,9 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Subnautica,"1.050,00 ₺",https://www.xbox.com/tr-TR/games/store/subnautica/BX3S1Q5DVHRD/0001,18 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
Bayonetta,"160,00 ₺",https://www.xbox.com/tr-TR/games/store/bayonetta/9PCR9Q61R2H1/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
LEGO® Marvel's Avengers,"212,50 ₺+",https://www.xbox.com/tr-TR/games/store/lego-marvels-avengers/BRW7FLNQ19PK/0001,14 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Prototype® Biohazard Bundle,"45,00 ₺",https://www.xbox.com/tr-TR/games/store/prototype-biohazard-bundle/BR64DHW9XK6B/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Need for Speed™ Heat,"23,40 ₺+",https://www.xbox.com/tr-TR/games/store/need-for-speed-heat/BRZZLBF5T245/0001,13 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Grand Theft Auto Online,"349,50 ₺+",https://www.xbox.com/tr-TR/games/store/grand-theft-auto-online/9NKC1Z4Z92VN/0010,14 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Path of Titans (Game Preview),,https://www.xbox.com/tr-TR/games/store/path-of-titans-game-preview/9PGDD5NS7JF3/0010,24 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
SMITE 2,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/smite-2/9NV8W1KJSQLL/0010,N/A,N/A,Bilgisayar | Xbox Series X|S | Handheld
Modern Tanks: Savaş Tankı Oyunları,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/modern-tanks-savas-tanki-oyunlari/9PMQCWD418SB/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
It Takes Two - Dijital Versiyon,"1.499,99 ₺+",https://www.xbox.com/tr-TR/games/store/it-takes-two-dijital-versiyon/9NXVC0482QS5/0010,12 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Terminull Brigade™,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/terminull-brigade/9MW1V43D3VZN/0010,6 Dil,N/A,Bilgisayar | Xbox Series X|S | Handheld
BioShock: The Collection,"237,50 ₺",https://www.xbox.com/tr-TR/games/store/bioshock-the-collection/C2HCDG7L1469/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
US Conflict — Tank Battles,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/us-conflict-tank-battles/9P31F9TGSRFN/0010,16 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Baldur's Gate 3,"1.300,00 ₺+",https://www.xbox.com/tr-TR/games/store/baldurs-gate-3/9ND58LQTG09T/0010,13 Dil,N/A,Bilgisayar | Xbox Series X|S
Jurassic Park Classic Games Collection,"583,33 ₺",https://www.xbox.com/tr-TR/games/store/jurassic-park-classic-games-collection/9NWPK5KCH6KF/0010,5 Dil,N/A,Bilgisayar | Xbox Series X|S
Eksiksiz Sürüm - Avatar: Frontiers of Pandora™,"1.544,25 ₺+",https://www.xbox.com/tr-TR/games/store/eksiksiz-surum-avatar-frontiers-of-pandora/9NG6FPV4FD5M/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
The Four Kings Casino and Slots,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/the-four-kings-casino-and-slots/BP021F0PG0D4/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Left to Survive,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/left-to-survive/9MW0K11NXKS6/0010,15 Dil,N/A,Bilgisayar | Xbox Series X|S
Capcom Arcade 2nd Stadium,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/capcom-arcade-2nd-stadium/9N3KJT4MHM4Z/0010,11 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Need for Speed™ Unbound Ultimate Collection,"349,99 ₺+",https://www.xbox.com/tr-TR/games/store/need-for-speed-unbound-ultimate-collection/9N1Q2RN0JQRG/0010,N/A,N/A,Bilgisayar | Xbox Series X|S
Maneater Apex Edition,"35,31 ₺+",https://www.xbox.com/tr-TR/games/store/maneater-apex-edition/9NN8R15LFDGC/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Century: Age of Ashes - Elite Sentry Edition,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/century-age-of-ashes-elite-sentry-edition/9P0VF4BSN88L/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Hawken,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/hawken/C1JXWJR46913/0001,5 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Crossout — ‘Snappy’ Bundle,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/crossout-snappy-bundle/9PMPPXZSF88C/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Resident Evil 4 Gold Edition,"1.749,00 ₺+",https://www.xbox.com/tr-TR/games/store/resident-evil-4-gold-edition/9P2G4PSMPBR7/0010,14 Dil,N/A,Bilgisayar | Xbox Series X|S
Albion Online,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/albion-online/9PDC9X7BKZR3/0010,14 Dil,N/A,Bilgisayar | Xbox Series X|S
Clicker Heroes,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/clicker-heroes/C5CZ41LM1DLM/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Seal: WHAT the FUN,Ücretsiz+,https://www.xbox.com/tr-TR/games/store/seal-what-the-fun/9PLFMN1C160R/0010,13 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S | Handheld
ELDEN RING,"1.099,00 ₺+",https://www.xbox.com/tr-TR/games/store/elden-ring/9P3J32CTXLRZ/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Saints Row IV: Re-Elected,"57,50 ₺+",https://www.xbox.com/tr-TR/games/store/saints-row-iv-re-elected/BVCVS12P1H14/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
EA SPORTS FC™ 26 Xbox One,,https://www.xbox.com/tr-TR/games/store/ea-sports-fc-26-xbox-one/9NK13T4QFPQW/0010,21 Dil,N/A,Bilgisayar | Xbox One | Xbox Series X|S
Back 4 Blood: Deluxe Edition,"85,90 ₺+",https://www.xbox.com/tr-TR/games/store/back-4-blood-deluxe-edition/9MZ313B6R2C0/0010,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
DuckTales: Remastered,"27,50 ₺",https://www.xbox.com/tr-TR/games/store/ducktales-remastered/C07J3ZJPGX6Z/0001,N/A,N/A,Bilgisayar | Xbox One | Xbox Series X|S
