oyun_adi,platform,cihaz_turu,kategori,yas_siniri,fiyat,gelistirici,tehlikeli_kategori,tehlikeli_oyun
Thermonuclear,Epic Games,PC,"Sıra Temelli, Tek Oyunculu, Strateji, Rogue-lite",7,1.5,Apushev Vitaly,0,0
RE:CALL,Epic Games,PC,"Bulmaca, Tek Oyunculu, Macera",12,0.74,Maitan69,0,0
When The Past Was Around,Epic Games,PC,"Bulmaca, Tek Oyunculu",3,0.29,Mojiken Studio,0,0
Model Builder: Complete Edition,Epic Games,PC,"Simülasyon, Tek Oyunculu, Basit Eğlence",3,3.59,Moonlit S.A.,0,0
Aquatico,Epic Games,PC,"Simülasyon, Hayatta Kalma, Tek Oyunculu, Şehir Kurma",3,0.88,Digital Reef Games,0,0
Sailing Era,Epic Games,"PC, Konsol","RYO, Tek Oyunculu",12,3.58,GY Games,0,0
Children of Silentown,Epic Games,"PC, Konsol","Macera, Tek Oyunculu, Bağımsız, Kumanda Desteği",7,4.27,Elf Games,0,0
NHRA Championship Drag Racing: Speed for All,Epic Games,PC,"Yarış, Tek Oyunculu, Rekabetçi, Çok Oyunculu",3,1.77,Team6 Game Studios,1,1
Sail Forth,Epic Games,"PC, Konsol","Kumanda Desteği, Keşif, Tek Oyunculu, Bağımsız, Macera",7,0.74,Festive Vector,0,0
Them's Fightin' Herds,Epic Games,PC,"Online Multiplayer, Tek Oyunculu, Bağımsız, Dövüş",7,0.74,Mane6,1,1
LEGO® Brawls,Epic Games,"PC, Konsol","Kumanda Desteği, Rekabetçi, Aksiyon, Eşli, Yerel Çok Oyunculu, Çapraz Platform, Online Multiplayer",7,1.71,Red Games Co,1,0
Arkadaşım Peppa Pig,Epic Games,PC,"Macera, Tek Oyunculu, Aksiyon-Macera, Kumanda Desteği",3,7.64,Petoons Studio,0,0
MY LITTLE PONY: Kısrak Koyu Macerası,Epic Games,"PC, Konsol","Kumanda Desteği, Tek Oyunculu, Aksiyon-Macera, Platform",3,7.64,Melbot Studios,0,0
Demeo,Epic Games,"PC, Konsol","RYO, Online Multiplayer, Strateji, Eşli, Tek Oyunculu, Macera",7,1.55,Resolution Games,0,0
Melatonin,Epic Games,"PC, Konsol","Müzik, Kumanda Desteği, Tek Oyunculu",7,3.35,Half Asleep,0,0
Dishonored®: Death of the Outsider™,Epic Games,PC,"Aksiyon, Bulut Kayıtları, Tek Oyunculu, Macera, Gizlilik",18,5.82,Arkane Studios,0,0
Arcanium: Rise of Akhan,Epic Games,PC,"Tek Oyunculu, Kart Oyunu, Strateji, Rogue-lite",7,3.35,"Supercombo, Inc.",0,0
PAW Patrol Mighty Pups Save Adventure Bay,Epic Games,"PC, Konsol","Kumanda Desteği, Tek Oyunculu, Aksiyon-Macera, Eşli",3,6.29,DRAKHAR STUDIO,0,0
Space Haste 2,Epic Games,PC,"Yarış, Tek Oyunculu",3,0.18,Dreams Interactive,0,0
Potion Craft: Alchemist Simulator,Epic Games,"PC, Konsol","Simülasyon, Tek Oyunculu, Bağımsız",3,4.27,niceplay games,0,0
60 Seconds! Reatomized,Epic Games,PC,"Hayatta Kalma, Tek Oyunculu, Strateji, Macera",12,2.22,Robot Gentleman,0,0
